
============================================================
  🤖 Telegram Alert Bot Started
============================================================
  Asset: BTC/USD
  Interval: 15s
  Spread threshold: 0.2%
  Change alert: 2.0% in 5min
  Cooldown: 300s
  Status updates: Every 30s
============================================================
  Press Ctrl+C to stop
============================================================

  [20:38:45] $87,579.99 | Spread: 0.144% | Alerts: 0
  [20:39:02] $87,568.55 | Spread: 0.143% | Alerts: 0 📤
  [20:39:18] $87,568.45 | Spread: 0.181% | Alerts: 0
  [20:39:35] $87,579.44 | Spread: 0.156% | Alerts: 0 📤
  [20:39:52] $87,585.35 | Spread: 0.153% | Alerts: 0
  [20:40:08] $87,581.21 | Spread: 0.163% | Alerts: 0 📤
  [20:40:25] $87,582.90 | Spread: 0.164% | Alerts: 0
  [20:40:41] $87,583.63 | Spread: 0.166% | Alerts: 0 📤
  [20:40:58] $87,603.49 | Spread: 0.211% | Alerts: 0  📊 Spread alert sent! (0.211%)
  [20:41:15] $87,597.02 | Spread: 0.192% | Alerts: 1 📤
  [20:41:32] $87,627.97 | Spread: 0.156% | Alerts: 1
  [20:41:49] $87,615.92 | Spread: 0.160% | Alerts: 1 📤
  [20:42:05] $87,617.50 | Spread: 0.177% | Alerts: 1
  [20:42:22] $87,629.38 | Spread: 0.204% | Alerts: 1 📤
  [20:42:39] $87,628.93 | Spread: 0.130% | Alerts: 1
  [20:42:55] $87,630.38 | Spread: 0.134% | Alerts: 1 📤
  [20:43:12] $87,615.21 | Spread: 0.167% | Alerts: 1
  [20:43:28] $87,582.82 | Spread: 0.128% | Alerts: 1 📤
  [20:43:46] $87,577.99 | Spread: 0.160% | Alerts: 1
  [20:44:02] $87,577.84 | Spread: 0.160% | Alerts: 1 📤
  [20:44:19] $87,572.33 | Spread: 0.165% | Alerts: 1
  [20:44:35] $87,568.95 | Spread: 0.162% | Alerts: 1 📤
  [20:44:53] $87,571.33 | Spread: 0.167% | Alerts: 1
  [20:45:09] $87,572.25 | Spread: 0.151% | Alerts: 1 📤
  [20:45:26] $87,577.92 | Spread: 0.157% | Alerts: 1
  [20:45:43] $87,578.41 | Spread: 0.159% | Alerts: 1 📤
  [20:46:00] $87,572.29 | Spread: 0.165% | Alerts: 1
  [20:46:16] $87,568.81 | Spread: 0.157% | Alerts: 1 📤
  [20:46:34] $87,578.24 | Spread: 0.195% | Alerts: 1
  [20:46:50] $87,583.47 | Spread: 0.207% | Alerts: 1  📊 Spread alert sent! (0.207%)
 📤
  [20:47:07] $87,594.99 | Spread: 0.171% | Alerts: 2
  [20:47:24] $87,593.95 | Spread: 0.169% | Alerts: 2 📤
  [20:47:41] $87,582.41 | Spread: 0.147% | Alerts: 2
  [20:47:57] $87,573.50 | Spread: 0.179% | Alerts: 2 📤
  [20:48:14] $87,602.40 | Spread: 0.164% | Alerts: 2
  [20:48:31] $87,621.33 | Spread: 0.212% | Alerts: 2 📤
  [20:48:48] $87,642.83 | Spread: 0.162% | Alerts: 2
  [20:49:04] $87,631.68 | Spread: 0.137% | Alerts: 2 📤
  [20:49:21] $87,623.09 | Spread: 0.156% | Alerts: 2
  [20:49:37] $87,622.82 | Spread: 0.157% | Alerts: 2 📤
  [20:49:54] $87,619.51 | Spread: 0.163% | Alerts: 2
  [20:50:11] $87,616.02 | Spread: 0.171% | Alerts: 2 📤
  [20:50:28] $87,614.24 | Spread: 0.146% | Alerts: 2
  [20:50:44] $87,606.88 | Spread: 0.162% | Alerts: 2 📤
  [20:51:01] $87,605.11 | Spread: 0.166% | Alerts: 2
  [20:51:17] $87,600.67 | Spread: 0.158% | Alerts: 2 📤
  [20:51:35] $87,596.30 | Spread: 0.168% | Alerts: 2
  [20:51:51] $87,605.68 | Spread: 0.159% | Alerts: 2 📤
  [20:52:08] $87,605.94 | Spread: 0.158% | Alerts: 2
  [20:52:24] $87,604.67 | Spread: 0.161% | Alerts: 2 📤
  [20:52:41] $87,592.71 | Spread: 0.175% | Alerts: 2
  [20:52:57] $87,605.67 | Spread: 0.159% | Alerts: 2 📤
  [20:53:14] $87,607.35 | Spread: 0.155% | Alerts: 2
  [20:53:31] $87,588.24 | Spread: 0.131% | Alerts: 2 📤
  [20:53:48] $87,566.87 | Spread: 0.161% | Alerts: 2
  [20:54:04] $87,571.12 | Spread: 0.168% | Alerts: 2 📤
  [20:54:22] $87,569.66 | Spread: 0.171% | Alerts: 2
  [20:54:38] $87,569.66 | Spread: 0.171% | Alerts: 2 📤
  [20:54:55] $87,563.50 | Spread: 0.167% | Alerts: 2
  [20:55:12] $87,571.26 | Spread: 0.167% | Alerts: 2 📤
  [20:55:28] $87,526.80 | Spread: 0.066% | Alerts: 2
  [20:55:45] $87,531.41 | Spread: 0.076% | Alerts: 2 📤
  [20:56:02] $87,482.96 | Spread: 0.148% | Alerts: 2
  [20:56:18] $87,502.39 | Spread: 0.196% | Alerts: 2 📤
  [20:56:35] $87,505.71 | Spread: 0.174% | Alerts: 2
  [20:56:52] $87,506.99 | Spread: 0.167% | Alerts: 2 📤
  [20:57:09] $87,506.58 | Spread: 0.153% | Alerts: 2
  [20:57:26] $87,501.32 | Spread: 0.168% | Alerts: 2 📤
  [20:57:42] $87,503.80 | Spread: 0.173% | Alerts: 2
  [20:57:59] $87,508.03 | Spread: 0.165% | Alerts: 2 📤
  [20:58:16] $87,513.14 | Spread: 0.168% | Alerts: 2
  [20:58:33] $87,519.30 | Spread: 0.184% | Alerts: 2 📤
  [20:58:49] $87,527.91 | Spread: 0.165% | Alerts: 2
  [20:59:06] $87,528.81 | Spread: 0.166% | Alerts: 2 📤
